iso3c,country_name,taxa,feed_category,tonnes
CIV,Côte d’Ivoire,tilapia,soy,1707.2611295204822
CIV,Côte d’Ivoire,tilapia,grain,1974.8725886735979
CIV,Côte d’Ivoire,tilapia,oil,911.4796563108915
RUS,Russia,catfish,soy,1685.7797482948
RUS,Russia,catfish,grain,1638.0024570181984
RUS,Russia,catfish,oil,949.8475786259372
CHL,Chile,trout,soy,170.61772550058646
CHL,Chile,trout,grain,1782.3699973147022
CHL,Chile,trout,oil,0
MEX,Mexico,oth_carp,soy,1170.1624351288547
MEX,Mexico,oth_carp,grain,924.2679821471896
MEX,Mexico,oth_carp,oil,2986.096557706305
PER,Peru,catfish,soy,1666.1898623237616
PER,Peru,catfish,grain,1618.9677750642095
PER,Peru,catfish,oil,938.8097157177071
NLD,Netherlands,catfish,soy,1660.8933977102167
NLD,Netherlands,catfish,grain,1613.8214194627305
NLD,Netherlands,catfish,oil,935.8254385050153
LTU,Lithuania,oth_carp,soy,1152.0536794623229
LTU,Lithuania,oth_carp,grain,909.9645465243748
LTU,Lithuania,oth_carp,oil,2939.885458001826
PER,Peru,tilapia,soy,1648.6614237034173
PER,Peru,tilapia,grain,1907.0874381061728
PER,Peru,tilapia,oil,880.1942022028489
BIH,Bosnia & Herzegovina,trout,soy,166.81909756659167
BIH,Bosnia & Herzegovina,trout,grain,1742.6873650404216
BIH,Bosnia & Herzegovina,trout,oil,0
JPN,Japan,oth_carp,soy,1141.0219087689186
JPN,Japan,oth_carp,grain,901.2509593058784
JPN,Japan,oth_carp,oil,2911.7338685266845
PAK,Pakistan,catfish,soy,1622.481856590534
PAK,Pakistan,catfish,grain,1576.4985136705957
PAK,Pakistan,catfish,oil,914.182570057505
TWN,Taiwan,catfish,soy,1597.7448241094585
TWN,Taiwan,catfish,grain,1552.4625623404609
TWN,Taiwan,catfish,oil,900.2445627773086
ISR,Israel,catfish,soy,1568.9221020715404
ISR,Israel,catfish,grain,1524.4567154533938
